,few_shots,rag,answers
0,Contradiction,Contradiction,Contradiction
1,Contradiction,Contradicted,Contradiction
2,Entailment,Entailment,Entailment
3,Entailment,Entailment,Entailment
4,Entailment,Entailment,Entailment
5,Entailment,Entailment,Entailment
6,Contradicted,Contradicted,Entailment
7,Contradicted,Contradicted,Entailment
8,Entailment,Entailment,Entailment
9,Entailment,Entailment,Entailment
10,Entailment,Entailment,Entailment
11,Entailment,Entailment,Entailment
12,Entailment,Entailment,Entailment
13,Entailment,Entailment,Entailment
14,Entailment,Entailment,Entailment
15,Entailment,Entailment,Entailment
16,Entailment,Entailment,Entailment
17,Entailment,Entailment,Entailment
18,Entailment,Entailment,Entailment
19,Entailment,Entailment,Entailment
20,Entailment,Entailment,Entailment
21,Entailment,Entailment,Entailment
22,Contradiction,Contradicted,Contradiction
23,Contradiction,Contradicted,Contradiction
24,Contradiction,Contradiction,Contradiction
25,Contradiction,Entailment,Contradiction
26,Entailment,Entailment,Entailment
27,Entailment,Entailment,Entailment
28,Entailment,Entailment,Entailment
29,Entailment,Entailment,Entailment
30,Entailment,Entailment,Entailment
31,Entailment,Entailment,Entailment
32,Entailment,Entailment,Entailment
33,Contradiction,Contradiction,Contradiction
34,Entailment,Entailment,Entailment
35,Entailment,Entailment,Entailment
36,Entailment,Entailment,Entailment
37,Entailment,Entailment,Entailment
38,Entailment,Entailment,Entailment
39,Entailment,Entailment,Entailment
40,Entailment,Entailment,Entailment
41,Contradiction,Contradicted,Contradiction
42,Entailment,Entailment,Entailment
43,Contradiction,Contradicted,Contradiction
44,Entailment,Entailment,Entailment
45,Entailment,Entailment,Entailment
46,Entailment,Entailment,Entailment
47,Entailment,Entailment,Entailment
48,Contradiction,Contradicted,Contradiction
49,Entailment,Contradicted,Contradiction
50,Contradicted,Contradicted,Entailment
51,Entailment,Entailment,Entailment
52,Entailment,Entailment,Entailment
53,Entailment,Entailment,Entailment
54,Entailment,Entailment,Entailment
55,Contradiction,Contradiction,Contradiction
56,Contradiction,Contradiction,Contradiction
57,Entailment,Entailment,Entailment
58,Entailment,Contradiction,Entailment
59,Entailment,Entailment,Entailment
60,Entailment,Entailment,Entailment
61,Contradicted,Entailment,Entailment
62,Entailment,Entailment,Entailment
63,Entailment,Entailment,Entailment
64,Entailment,Contradicted,Entailment
65,Entailment,Entailment,Entailment
66,Entailment,Entailment,Entailment
67,Contradiction,Contradiction,Entailment
68,Contradiction,Contradicted,Contradiction
69,Entailment,Entailment,Entailment
70,Entailment,Entailment,Entailment
71,Entailment,Entailment,Entailment
72,Entailment,Contradicted,Entailment
73,Entailment,Entailment,Entailment
74,Contradiction,Contradicted,Contradiction
75,Contradiction,Contradicted,Contradiction
76,Contradicted,Entailment,Entailment
77,Entailment,Entailment,Entailment
78,Entailment,Entailment,Entailment
79,Contradicted,Entailment,Entailment
80,Contradicted,Entailment,Entailment
81,Entailment,Entailment,Entailment
82,Entailment,Entailment,Entailment
83,Entailment,Entailment,Entailment
84,Entailment,Entailment,Entailment
